title	pmid	url
Association between home insulation and hospital admission rates: retrospective cohort study using linked data from a national intervention programme	33376083	https://pubmed.ncbi.nlm.nih.gov/33376083/#abstract
"Use
of proton pump inhibitors to treat persistent
throat symptoms: multicentre, double blind,
randomised, placebo controlled
trial"	33414239	https://pubmed.ncbi.nlm.nih.gov/33414239/#abstract
Efficacy and safety of low and very low carbohydrate diets for type 2 diabetes remission: systematic review and meta-analysis of published and unpublished randomized trial data	33441384	https://pubmed.ncbi.nlm.nih.gov/33441384/#abstract
Sodium-glucose cotransporter protein-2 (SGLT-2) inhibitors and glucagon-like peptide-1 (GLP-1) receptor agonists for type 2 diabetes: systematic review and network meta-analysis of randomised controlled trials	33441402	https://pubmed.ncbi.nlm.nih.gov/33441402/#abstract
Designing and undertaking randomised implementation trials: guide for researchers	33461967	https://pubmed.ncbi.nlm.nih.gov/33461967/#abstract
	33461966	https://pubmed.ncbi.nlm.nih.gov/33461966/#abstract
Home and Online Management and Evaluation of Blood Pressure (HOME BP) using a digital intervention in poorly controlled hypertension: randomised controlled trial	33468518	https://pubmed.ncbi.nlm.nih.gov/33468518/#abstract
Political economy of covid-19: extractive, regressive, competitive	33483317	https://pubmed.ncbi.nlm.nih.gov/33483317/#abstract
Explaining covid-19 performance: what factors might predict national responses?	33509924	https://pubmed.ncbi.nlm.nih.gov/33509924/#abstract
Covid-19 pandemic and the social determinants of health	33509801	https://pubmed.ncbi.nlm.nih.gov/33509801/#abstract
International collaboration and covid-19: what are we doing and where are we going?	33509953	https://pubmed.ncbi.nlm.nih.gov/33509953/#abstract
Covid-19âa rehearsal to build a greener and healthier society	33509800	https://pubmed.ncbi.nlm.nih.gov/33509800/#abstract
